it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
200,0.5379,0.5379,1.4871,1.5295,0.0302,0.1179,0.1259,0.0743,0.0091,0.0958,6.00,0.100,0.700,0.950,-0.1894,-0.2134,0.0625,0.02832,0.03345,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00073
400,0.5379,0.5379,1.4871,1.5295,0.0356,0.0322,0.2577,0.0230,0.0007,0.1498,6.01,0.100,0.700,0.950,-0.1971,-0.1992,0.0615,0.02979,0.03027,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00122
600,0.5266,0.5292,-5.8977,-7.5423,0.0454,0.0054,0.2091,0.0488,0.0012,0.1894,6.01,0.100,0.700,0.950,-0.1705,-0.2290,0.0608,0.02563,0.03491,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00146
800,0.5266,0.5292,-5.8977,-7.5423,0.0123,0.0011,0.2560,0.0161,0.0004,0.1808,6.01,0.100,0.700,0.950,-0.1629,-0.1878,0.0532,0.02368,0.02734,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00049
1000,0.5266,0.5292,-5.8977,-7.5423,0.0111,0.0008,0.2364,0.0234,0.0000,0.1858,6.01,0.100,0.700,0.950,-0.1853,-0.1606,0.0496,0.02686,0.02148,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00024
1200,0.5200,0.5240,-7.7512,-7.3741,0.0183,0.0003,0.2222,0.0443,0.0005,0.1638,6.02,0.100,0.700,0.950,-0.1443,-0.0358,0.0273,0.02222,0.00391,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00049
1400,0.5200,0.5240,-7.7512,-7.3741,0.0289,0.0000,0.2130,0.0954,0.0006,0.0732,6.02,0.100,0.700,0.950,-0.1378,-0.0036,0.0242,0.02100,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00171
1600,0.5152,0.5197,-6.7838,-6.2666,0.0678,0.0015,0.1248,0.0684,0.0000,0.0871,6.02,0.100,0.700,0.950,-0.0031,-0.0025,0.0061,0.00146,0.00146,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00195
1800,0.5152,0.5197,-6.7838,-6.2666,0.0473,0.0000,0.0905,0.0331,0.0005,0.0658,6.02,0.100,0.700,0.950,-0.0215,-0.0131,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2000,0.5152,0.5197,-6.7838,-6.2666,0.0210,0.0000,0.1521,0.0177,0.0000,0.1014,6.03,0.101,0.700,0.950,0.0079,0.0102,0.0032,0.00098,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00049
2200,0.5120,0.5175,-7.0468,-7.5684,0.0202,0.0000,0.2089,0.0148,0.0000,0.1464,6.03,0.101,0.700,0.950,0.0129,0.0114,0.0017,0.00024,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122
2400,0.5120,0.5175,-7.0468,-7.5684,0.0228,0.0000,0.1617,0.0188,0.0000,0.1467,6.03,0.101,0.700,0.950,0.0026,0.0002,0.0056,0.00049,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00244
2600,0.5104,0.5169,-7.3999,-7.6370,0.0161,0.0000,0.1877,0.0169,0.0000,0.1664,6.03,0.101,0.700,0.950,0.0013,0.0094,0.0034,0.00049,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00098
2800,0.5104,0.5169,-7.3999,-7.6370,0.0180,0.0000,0.1908,0.0142,0.0000,0.1342,6.04,0.101,0.700,0.950,0.0045,0.0120,0.0024,0.00073,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00073
3000,0.5104,0.5169,-7.3999,-7.6370,0.0154,0.0000,0.2035,0.0146,0.0001,0.1288,6.04,0.101,0.700,0.950,0.0075,0.0135,0.0022,0.00024,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00024
3200,0.5101,0.5176,-7.5042,-7.6124,0.0162,0.0000,0.2143,0.0148,0.0000,0.2052,6.04,0.101,0.700,0.950,0.0060,0.0094,0.0029,0.00073,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00098
3400,0.5101,0.5176,-7.5042,-7.6124,0.0149,0.0000,0.2021,0.0124,0.0000,0.2001,6.05,0.101,0.700,0.950,0.0096,0.0068,0.0034,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00220
3600,0.5112,0.5195,-7.7008,-7.6430,0.0161,0.0000,0.2282,0.0143,0.0000,0.1720,6.05,0.101,0.700,0.950,0.0104,0.0116,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3800,0.5112,0.5195,-7.7008,-7.6430,0.0188,0.0000,0.2942,0.0134,0.0003,0.2143,6.05,0.101,0.700,0.950,0.0107,0.0177,0.0015,0.00073,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00024
4000,0.5112,0.5195,-7.7008,-7.6430,0.0136,0.0000,0.2633,0.0130,0.0000,0.2097,6.05,0.101,0.700,0.950,0.0117,0.0126,0.0022,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00122
4200,0.5134,0.5225,-7.6731,-7.7010,0.0156,0.0000,0.2476,0.0123,0.0000,0.2060,6.06,0.101,0.700,0.950,0.0050,0.0135,0.0039,0.00098,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00073
4400,0.5134,0.5225,-7.6731,-7.7010,0.0160,0.0000,0.2580,0.0125,0.0000,0.2536,6.06,0.101,0.700,0.950,0.0035,0.0140,0.0037,0.00098,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00171,0.00073
4600,0.5165,0.5263,-7.6431,-7.7049,0.0154,0.0000,0.2813,0.0125,0.0000,0.2729,6.06,0.101,0.700,0.950,0.0109,0.0103,0.0032,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00122,0.00171
4800,0.5165,0.5263,-7.6431,-7.7049,0.0162,0.0000,0.3475,0.0108,0.0000,0.3236,6.06,0.101,0.700,0.950,0.0120,0.0129,0.0027,0.00049,0.00098,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00049
5000,0.5165,0.5263,-7.6431,-7.7049,0.0133,0.0000,0.2981,0.0122,0.0000,0.3090,6.07,0.101,0.700,0.950,0.0085,0.0149,0.0029,0.00098,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00098
5200,0.5204,0.5310,-7.6495,-7.7352,0.0127,0.0000,0.3487,0.0118,0.0000,0.3080,6.07,0.101,0.700,0.950,0.0086,0.0073,0.0042,0.00024,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00195
5400,0.5204,0.5310,-7.6495,-7.7352,0.0148,0.0000,0.3017,0.0124,0.0003,0.2588,6.07,0.101,0.700,0.950,0.0163,0.0171,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
5600,0.5251,0.5364,-7.6266,-7.7771,0.0150,0.0000,0.3125,0.0146,0.0000,0.3046,6.07,0.101,0.700,0.950,0.0101,0.0134,0.0029,0.00024,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00146,0.00098
5800,0.5251,0.5364,-7.6266,-7.7771,0.0167,0.0000,0.3056,0.0130,0.0000,0.2791,6.08,0.101,0.700,0.950,0.0092,0.0156,0.0029,0.00146,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00049
6000,0.5251,0.5364,-7.6266,-7.7771,0.0152,0.0000,0.3054,0.0154,0.0000,0.2549,6.08,0.102,0.700,0.950,0.0092,0.0117,0.0032,0.00073,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00098
6200,0.5305,0.5379,-7.5672,-7.7573,0.0121,0.0000,0.3600,0.0134,0.0000,0.2517,6.08,0.102,0.700,0.950,0.0109,0.0147,0.0020,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00073,0.00073
6400,0.5305,0.5379,-7.5672,-7.7573,0.0155,0.0000,0.3125,0.0153,0.0000,0.3161,6.09,0.102,0.700,0.950,0.0102,0.0112,0.0027,0.00098,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00049,0.00098
6600,0.5365,0.5379,-7.6290,-7.6357,0.0147,0.0000,0.2816,0.0146,0.0000,0.2475,6.09,0.102,0.700,0.950,0.0125,0.0088,0.0027,0.00000,0.00024,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00098,0.00146
6800,0.5365,0.5379,-7.6290,-7.6357,0.0145,0.0000,0.2776,0.0163,0.0000,0.2981,6.09,0.102,0.700,0.950,-0.0004,0.0082,0.0051,0.00122,0.00049,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00244,0.00098
7000,0.5365,0.5379,-7.6290,-7.6357,0.0118,0.0000,0.3178,0.0136,0.0000,0.2708,6.09,0.102,0.700,0.950,0.0028,0.0004,0.0054,0.00073,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00195,0.00171
7200,0.5379,0.5379,-7.5868,-7.7123,0.0161,0.0000,0.3129,0.0140,0.0000,0.2506,6.10,0.102,0.700,0.950,0.0193,0.0202,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
