it,alpha_cvar,alpha_pow,ent_cvar,ent_pow,pstd_a_steer,pstd_a_thr,qspread_a,pstd_b_steer,pstd_b_thr,qspread_b,v_cap,k_slip,mu_min,mu_max,r_a,r_b,term,off_a,off_b,crash_a,crash_b,flip_a,flip_b,spun_a,spun_b,obs_a,obs_b
1450200,0.5379,0.5379,-8.0663,-7.1751,0.0079,0.0000,0.2807,0.0082,0.0121,0.7347,10.00,0.200,0.850,1.100,0.0329,0.0819,0.0032,0.00073,0.00073,0.00000,0.00024,0.00000,0.00000,0.00024,0.00000,0.00024,0.00098
1450400,0.5379,0.5379,-8.0663,-7.1751,0.0118,0.0000,0.2336,0.0112,0.0191,0.5869,10.00,0.200,0.850,1.100,0.0045,0.0769,0.0073,0.00244,0.00073,0.00000,0.00049,0.00000,0.00000,0.00024,0.00000,0.00171,0.00171
1450600,0.5379,0.5379,-8.2197,-7.1972,0.0086,0.0000,0.2918,0.0086,0.0238,0.7525,10.00,0.200,0.850,1.100,0.0118,0.0778,0.0051,0.00220,0.00073,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00073,0.00098
1450800,0.5379,0.5379,-8.2197,-7.1972,0.0097,0.0000,0.2890,0.0151,0.0185,0.7885,10.00,0.200,0.850,1.100,0.0044,0.0676,0.0061,0.00122,0.00024,0.00000,0.00024,0.00000,0.00000,0.00024,0.00000,0.00171,0.00244
1451000,0.5379,0.5379,-8.2197,-7.1972,0.0112,0.0000,0.2193,0.0189,0.0365,0.7446,10.00,0.200,0.850,1.100,0.0149,0.0515,0.0061,0.00146,0.00049,0.00000,0.00024,0.00000,0.00000,0.00024,0.00000,0.00073,0.00293
1451200,0.5379,0.5379,-8.2711,-7.1846,0.0066,0.0000,0.2294,0.0135,0.0163,0.7556,10.00,0.200,0.850,1.100,0.0164,0.0860,0.0049,0.00244,0.00122,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00024,0.00098
1451400,0.5379,0.5379,-8.2711,-7.1846,0.0124,0.0000,0.3161,0.0171,0.0180,0.6695,10.00,0.200,0.850,1.100,0.0232,0.0685,0.0054,0.00171,0.00073,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00049,0.00195
1451600,0.5379,0.5379,-8.1891,-7.2135,0.0096,0.0000,0.2578,0.0093,0.0068,0.7289,10.00,0.200,0.850,1.100,0.0089,0.0844,0.0049,0.00171,0.00024,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00122,0.00122
1451800,0.5379,0.5379,-8.1891,-7.2135,0.0079,0.0000,0.1061,0.0250,0.0012,0.3896,10.00,0.200,0.850,1.100,-0.0116,-0.0320,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1452000,0.5379,0.5379,-8.1891,-7.2135,0.0079,0.0000,0.2217,0.0165,0.0493,0.7272,10.00,0.200,0.850,1.100,0.0193,0.0478,0.0054,0.00146,0.00073,0.00000,0.00049,0.00000,0.00000,0.00000,0.00000,0.00098,0.00171
